Intent,Test Prompt
DriverLicense,How do I get my learners permit?
DriverLicense,I got a speeding ticket.
DriverLicense,I got speeding tickets a long time ago and the cops said my license is suspended. Where can I go to pay my tickets so I can get my license back?
DriverLicense,I moved. How long do I have to update my license?
DriverLicense,My license got suspended because of unpaid tickets. Where can I go and pay my tickets off?
DriverLicense,What happens if I drive with a suspended license?
DriverLicense,What happens if I drive with a suspended license?
DriverLicense,What is reckless driving?
DriverLicense,Why do I have to get a Real ID instead of my regular license?
Expungement,Can I clear my criminal history?
Expungement,Do I need to get misdemeanors expunged to get a job?
Expungement,Do I need to get misdemeanors off my record to get a job?
Expungement,Does it cost money to clear my criminal record?
Expungement,Does it cost money to clear my record?
Expungement,How do I get my criminal record cleared?
Expungement,How to clear record?
Expungement,"If I get my record expunged, can I carry a gun?"
Expungement,What is an expungement?
Expungement,What is Expungment?
Expungement,Where do I get forms to clear my record?
Expungement,Where do I get forms to get my record expunged?
Expungement,Who can clear my criminal record?
FamilyLaw,How do I get free from my parents?
FamilyLaw,I'm going to get a job that pays less so I don't have to pay as much support. Who do I tell I'm going to be making less for that?
FamilyLaw,My fiancé wants to become the stepparent to my my son. Do we have to file anything?
FamilyLaw,How do I change my visitation days?
FamilyLaw,How do I get released from my parents?
FamilyLaw,I'm going to get a job that pays less so I don't have to pay as much support. Who do I tell I'm going to be making less for that?
FamilyLaw,My ex is telling lies about me to our children. What can I do?
FamilyLaw,My fiance is in the military and wants to be my child's stepparent. Do we have tio file papers for an adoption by my fiance?
FamilyLaw,Someone called social services on me. Now they're taking away my kids. What do I do to get them back?
FamMobileCrisis,Crisis
FamMobileCrisis,FamMobileCrisis
FilingFeesAndWaivers,Are there exceptions to fees?
FilingFeesAndWaivers,cost to bring a case
FilingFeesAndWaivers,cost to file
FilingFeesAndWaivers,cost to sue
FilingFeesAndWaivers,Costs?
FilingFeesAndWaivers,Do I have to pay to file a lawsuit?
FilingFeesAndWaivers,Do I have to pay to start a lawsuit?
FilingFeesAndWaivers,Does it cost anything to bring a case against my landlord?
FilingFeesAndWaivers,filing fees
FilingFeesAndWaivers,Filing fees?
FilingFeesAndWaivers,how much money to bring my case?
FilingFeesAndWaivers,how much money to bring my case?
FilingFeesAndWaivers,pay to file
FilingFeesAndWaivers,waive a filing fee
FindACase,find a case
FindACase,Finding my case
FindACase,how do I check someone's criminal background
FindACase,how do i find my court date
FindACase,I can't find my traffic ticket
FindACase,I lost my traffic ticket. Where do I pay it off?
FindACase,When do I need to go to Court?
FindACase,where can I find information about my case
FindALawyer,Are there any free lawyers?
FindALawyer,How can I find a pro bono attorney?
FindALawyer,How can I get myself a good lawyer?
FindALawyer,How can I hire a lawyer
FindALawyer,How do I know if a lawyer is good?
FindALawyer,I got a summons. Do I need a lawyer?
FindALawyer,Is there a lawyer referral in Virginia?
FindALawyer,Is there a list of lawyers?
FindALawyer,Legal aid won't help me. Where can I find lawyers that will?
FindALawyer,Legal Aid won't take my case. Are there any other places that will take my case? I want to sue the City of Richmond. 
FindALawyer,Where do I find a lawyer in Virginia?
FindAMediator,Can I come to an agreement with defendant before trial?
FindAMediator,Do I have any alternatives to filing a lawsuit?
FindAMediator,How does a mediator qualify?
FindAMediator,How does mediation work?
FindAMediator,I want to settle my case
FindAMediator,I want to settle out of court. What do I do?
FindAMediator,I'm suing my landlord. Can we come to an agreement before trial?
FindAMediator,Is there a cheaper way to sue someone?
FindAMediator,Someone told me to try ADR instead of suing. What's that
FindAMediator,What is a mediator?
FindAMediator,What is ADR?
FindAMediator,What is mediation?
Forms,court documents
Forms,court forms
Forms,courtforms
Forms,documents
Forms,Documents for court?
Forms,form
Forms,form
Forms,legal form
Forms,Paperwork
Forms,What do I need to file with the court?
Forms,What documents do I need for my case?
Forms,What documents do I need to submit to court?
Forms,What filings does the court need?
Forms,what forms do I need for court?
Forms,What papers do I need?
Forms,What paperwork do I need for court
FreedomOfInformationAct,Does the government have to turn over paperwork related to my case?
FreedomOfInformationAct,Freedom of information act
FreedomOfInformationAct,How can I force the county to give me access to paperwork
FreedomOfInformationAct,How can I force the county to give me information?
FreedomOfInformationAct,What does FOIA allow?
FreedomOfInformationAct,What is FIOA?
FreedomOfInformationAct,What is FOIA?
GenderIssues,Do I have to use the bathroom of my assigned gender at birth?
GenderIssues,How can I change my birth certificate?
GenderIssues,I want a sex change. Is there help for that?
GenderIssues,I'm non-binary
GenderIssues,I'm trans
GenderIssues,I'm trans-masculine
GenderIssues,I'm trans. Can I change my birth certificate?
GenderIssues,I'm trans. Can I change my license?
GenderIssues,I'm transitioning. What do I need to do?
GenderIssues,I'm transitioning. What forms do i need?
GenderIssues,I'm undergoing gender affirming care
GetHelp,A former friend owes me 2000 dollars
GetHelp,"A former friend owes me 2000 dollars, how can I get that money back"
GetHelp,help
GetHelp,help
GetHelp,Help
GetHelp,How do I get assistance?
GetHelp,How do I get legal help?
GetHelp,How do I get legal help?
GetHelp,How do I get my money back from a friend that owes me
GetHelp,Legal Assistance
GetHelp,legal self help
Guardianship_Conservatorship,Can the court appoint someone to help manage the affairs of a mentally handicapped person?
Guardianship_Conservatorship,How do I change my guardian?
Guardianship_Conservatorship,How do I change my Guardian?
Guardianship_Conservatorship,"I don't like my guardian, how can I change them?"
Guardianship_Conservatorship,I need my dad needs a guardian. Can you help?
Guardianship_Conservatorship,I need to have power of attorney over my mother's affairs. Where do I go?
Guardianship_Conservatorship,I think my dad needs a conservator. Can you help?
Guardianship_Conservatorship,I want to file a complaint against my guardian
Guardianship_Conservatorship,My mom was diagnosed with dementia. I think she will need a legal guardian. Who should I call?
Guardianship_Conservatorship,What does a conservator do?
Guardianship_Conservatorship,Who can manage the affairs of an incapacitated person?
Guardianship_Conservatorship,Who is appointed by the court to be responsible for managing the estate and financial affairs of an incapacitated person?
Guardianship_Conservatorship,Who needs a guardian?
Health,How can I get mental health support for my adult child?
Health,How do you get Medicaid?
Health,How do you get Medicare?
Health,"I'm in a wheelchair, will the courts accommodate that?"
Health,Will the court accommodate my disability?
Housing,How can I get out of my lease?
Housing,How do I qualify for housing assistance?
Housing,How much can I charge my tenant for rent?
Housing,How much should I charge for rent?
Housing,I got an eviction notice. What do I do?
Housing,I need a property maintenance company
Housing,I want to end my lease early
Housing,"I've been transferred from Oceana to Guam, effective at the end of the month. The landlord won't let me out of my lease. I think he has to. Which is correct?"
Housing,My landlord told me I can't have my friends over. Is that legal?
Housing,My landlord won't fix a leaky pipe and now there's mold
Housing,The refrigerator in my apartment wasn't working good. I asked the landlord to get it fixed or replace it. He didn't. So I stopped paying rent. Now he says he's going to evict me. Is that legal?
Housing,What is an unlawful detainer
Housing,What's a tenant's assertion?
Housing,What's unlawful detainer?
Juveniles,Is my juvenile record sealed?
Juveniles,What does juvenile mean?
Juveniles,What's JD&R court?
Juveniles,What's the age of majority in Virginia
Juveniles,"If I commit a crime while I am under 18, does that stay on my record?"
Juveniles,JDR
Juveniles,My 15 year old son got arrested
Juveniles,What happens if I commit a crime while under 18?
Juveniles,What is JD&R?
Juveniles,What is the age of majority?
LegalQA,legal qa
LegalQA,legal qa
LegalQA,Q&A
LegalQA,Q&A
LegalQA,Q&A
LegalQA,What are common legal questions
LegalQA,where can I find answers to questions?
LegalQA,where can I find answers to questions?
LegalQA,where can I find legal answers
LegalQA,where can I find legal answers
LegalQA,where can I go to ask a legal question?
LegalSelfHelp,I don't like the judge's decision
LegalSelfHelp,"I don't like the judge's decision, what can I do."
LegalSelfHelp,legal assistance
LegalSelfHelp,My 15 year old son got arrested - what do I need to know?
MentalHealth,Can my ex husband be ordered to receive mental health treatment?
MentalHealth,I think my ex boyfriend may kill himself
MentalHealth,I'm thinking about suicide
MentalHealth,I'm thinking about suicide. I need someone to talk to
MentalHealth,I'm tired of living
MentalHealth,I'm worried my ex boyfriend may hurt himself
MentalHealth,I'm worried my ex girlfriend may kill herself
MentalHealth,Im worried my husband may kill himself
MentalHealth,mental health
MentalHealth,My brother is off her meds 
MentalHealth,My brother is off her meds - how can I help?
MentalHealth,My friend is schizo and off meds. Can he be committed?
MentalHealth,"My sister is suicidal, what can I do"
NameChange,Can I change my name on my birth certificate?
NameChange,Can I legally choose any name I want?
NameChange,Do a court have to approve my name change?
NameChange,How can I change my name
NameChange,How much does it cost to change my name?
NameChange,How much does it cost to change your name?
NameChange,I got married. How do I change my last name?
NameChange,I just got married - do I have to change my name?
NameChange,I just got married - how do I change my name?
NameChange,I want to change the name on my birth certificate. How do I do that?
NameChange,Is there a form to change my name?
NameChange,What paperwork do I need for a name change?
NameChange,"When changing my name, can I pick any name I want?"
ObtainVirginiaAdultBirthCertificateGuide,Do I need a Virginia birth certificate if I'm over 40?
ObtainVirginiaAdultBirthCertificateGuide,How do I replace my certificate of birth
ObtainVirginiaAdultBirthCertificateGuide,"I lost my birth certificate, how do I get a replacement?"
ObtainVirginiaAdultBirthCertificateGuide,I need a passport but can't find my birth certificate. What do I do?
ObtainVirginiaAdultBirthCertificateGuide,"I'm getting a passport, but can't find my birth certificate "
ObtainVirginiaAdultBirthCertificateGuide,My birth certificate burned in a fire. How do I replace it?
ObtainVirginiaAdultBirthCertificateGuide,Where do I get a copy of my birth certificate?
SelfRepresentationCourtOfAppeals,Do I have to hire a lawyer for my appeal?
SelfRepresentationCourtOfAppeals,Do I have to hire an attorney for the Court of Appeals?
SelfRepresentationCourtOfAppeals,do i need to have a lawyer for an appeal?
SelfRepresentationCourtOfAppeals,how do I appeal
SelfRepresentationCourtOfAppeals,I am a pro se litigant in the court of appeals.
SelfRepresentationCourtOfAppeals,I am pro se on appeal. What can I do?
SelfRepresentationCourtOfAppeals,I am representing myself in the court of appeals. What do I need to know?
SelfRepresentationCourtOfAppeals,I don't have an attorney for my case in the court of appeals. What can I do?
SelfRepresentationCourtOfAppeals,I have no lawyer for my appeal. What can I do?
SelfRepresentationCourtOfAppeals,I want to act as my own lawyer in the court of appeals.
SelfRepresentationCourtOfAppeals,I want to appeal the judge's decision
SelfRepresentationCourtOfAppeals,I want to represent myself on appeal.
SelfRepresentationCourtOfAppeals,My lawyer won't appeal my case
SelfRepresentationCourtOfAppeals,What resources are available to litigants representing themselves on appeal?
Seniors,Can you help me with my medicaid?
Seniors,How do I file for social security
Seniors,How do I file for Social Security?
Seniors,How do I get on Medicaid?
Seniors,I am an elderly person and my caretaker is not bathing me. What can I do?
Seniors,I've heard I need to sign up for Medicare. Where do I do that?
Seniors,My caretaker isn't bathing me
Seniors,My grandson is stealing my social security check
Seniors,My nurse isn't bathing me
Seniors,My nursing home is treating me poorly
Seniors,My Social Security check was stolen. What do I do?
Seniors,My Social Security check was stolen. What do I do?
SmallClaims,Can I bring an attorney with me to small claims court?
SmallClaims,Does small claims have a limit?
SmallClaims,How do I recover $3000 someone owes me?
SmallClaims,How do I sue a neighbor for a new fence
SmallClaims,How do I take my neighbor to small claims court
SmallClaims,"I hired a painter to re-finish my cainets. The first time, I wasn't happy with the result. He came back, and made them look worse. He won't refund my money. What do I do?"
SmallClaims,I've taken my car to a mechanic to get it fixed. He had it three times and it still isn't fixed. I've paid him over $500. What can I do?
SmallClaims,Is there a form to sue my neighbor for a new fence?
SmallClaims,What's the dollar limit in small claims court?
SmallClaims,Where do I file a small claim?
SmallClaims,Which court handles small claims?
UpdateAddressForCourtCasesVirginia,change of address
UpdateAddressForCourtCasesVirginia,How do I update my address for a court case?
UpdateAddressForCourtCasesVirginia,I have a pending case and I've moved
UpdateAddressForCourtCasesVirginia,I have relocated. Do I need to update my information for court?
UpdateAddressForCourtCasesVirginia,I moved. Do I need to update my information for my case?
UpdateAddressForCourtCasesVirginia,moved
UpdateAddressForCourtCasesVirginia,Moved
UpdateAddressForCourtCasesVirginia,My address changed. Do I need to update the court?
UpdateAddressForCourtCasesVirginia,New address
UpdateAddressForCourtCasesVirginia,relocation
Veterans,Can I get a concealed carry with my Marines discharge papers?
Veterans,Can I get credit for my army service?
Veterans,Can I get credit for my army service?
Veterans,How do I appeal a denial by the department of veterans affairs
Veterans,How do I appeal my VA denial?
Veterans,I need help with GI Bill
Veterans,I think asbestos was on my Navy ship. How do I check?
Veterans,Im a veteran and I need help
Veterans,Is there help for veterans in Virginia?
Veterans,What happened to the GI bill?
VirginiaProbateHelp,How do I get my parent's estate out of probate?
VirginiaProbateHelp,How does probate work in Virginia?
VirginiaProbateHelp,How long does probate take?
VirginiaProbateHelp,My husband died without a will
VirginiaProbateHelp,My parent had a will. What happens next?
VirginiaProbateHelp,My parents didn't have a will
VirginiaProbateHelp,My parents died with a will
VirginiaProbateHelp,My parents died without a will
VirginiaProbateHelp,My parents had a will
VirginiaProbateHelp,what's probate
VirginiaProbateHelp,What's probate?
VotingRights,How do I have my right to vote restored?
VotingRights,"I'm a convicted felon, can I vote?"
VotingRights,"Im a convicted felon, how do I get my right to vote back?"
VotingRights,Where do I register to vote
VotingRights,Where do I vote?
