Intent,Prompt,Response,Incorrect or incomplete page directs,Incorrect hyperlinks,Notes
AccessLegalInformationThroughOLIR,Where can I research the law?,It sounds like you are looking for information relating to accessing legal information through the OLIR (Online Legal Information Resources) system. Is this correct?,"Should direct to the Online Legal Information Resources page, the Guide to Virginia Legal Information Resources, the Law Libraries page, the Find a Form page, and the FAQ's.",,
ChildSupport,How do I make my kids' father pay for them?,It sounds like you are having issues relating to Family Law. Is this correct?,"Should direct to ""Child Support"".",,
ChildSupport,How do I make my ex-husband pay child support?,It sounds like you need help with issues relating to Child Support. Is this correct?,,,
ChildSupport,I want my ex to pay for his kids. What can I do?,It sounds like you are having issues relating to Family Law. Is this correct?,"Should direct to ""Child Support"".",,
ChildSupport,How do I get money for my kids from their mom?,It sounds like you are having issues relating to Family Law. Is this correct?,"Should direct to ""Child Support"".",,
ChildSupport,How do I get support for my kids?,It sounds like you are having issues relating to Family Law. Is this correct?,"Should direct to ""Child Support"".",,
ChildSupport,How do I get support for my children?,It sounds like you need help with issues relating to Child Support. Is this correct?,,,
ChildSupport,How do I get money from my baby daddy for his kids?,It sounds like you are having issues relating to Family Law. Is this correct?,"Should direct to ""Child Support"".",,
ChildSupport,Does my ex-wife owe money for her children?,NOT FOUND,"Should direct to ""Child Support"".",,
ChildSupport,Does my ex have to cover expenses for his kids?,It sounds like you are having issues relating to Family Law. Is this correct?,"Should direct to ""Child Support"".",,
ChildSupport,Does an absent parent need to provide money for a son or daughter?,NOT FOUND,"Should direct to ""Child Support"".",,
ConservatorOfThePeace,What is a conservator?,It sounds like you are having issues relating to Guardianships and/or Conservatorships. Is this correct?,,,
ConservatorOfThePeace,What is a conservator of the peace?,It sounds like you are looking for information relating to Conservator of the Peace. Is this correct?,"Should direct to ""Guardianship & Conservatorship"" page. ",,
ConservatorOfThePeace,What is a person called who is appointed by the court to help someone?,NOT FOUND,,,
ConservatorOfThePeace,Who is appointed by the court to be responsible for managing the estate and financial affairs of an incapacitated person?,It sounds like you are looking for information relating to Virginia Probate law or proceedings. Is this correct?,"Should direct to ""Guardianship & Conservatorship"" page. ",,
ConservatorOfThePeace,Can the court appoint someone to help manage the affairs of a mentally handicapped person?,NOT FOUND,"Should direct to ""Guardianship & Conservatorship"" page. ",,
ConservatorOfThePeace,Who can manage the affairs of an incapacitated person?,It sounds like you are looking for information relating to Virginia Probate law or proceedings. Is this correct?,"Should direct to ""Guardianship & Conservatorship"" page. ",,
CourtGlossaryInfo,Where can I find a glossary of words used in court?,It sounds like you are looking for information relating to Court Glossary Information. Is this correct?,,,
CourtGlossaryInfo,How do I research what legal words mean?,Sorry if I understood you incorrectly.,"Should direct to ""Glossaries"" and FAQs. ",,
CourtGlossaryInfo,How do I look up what legal words mean?,"Sorry, looks like I misunderstood what you said.","Should direct to ""Glossaries"" and FAQs. ",,
CourtGlossaryInfo,How do I search terms used in court?,It sounds like you are looking for information relating to Court Glossary Information. Is this correct?,,,
CourtGlossaryInfo,How do I lookup words used in court?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,"Should direct to ""Glossaries"" and FAQs. ",,
CourtGlossaryInfo,Is there a way to search the meaning of law words?,"You can find information about civil and criminal cases in Virginia's General District Court and Circuit Court online by selecting an individual court location. To protect confidentiality, no case information is available online for Juvenile and Domestic Relations Court cases. Note that there is no statewide search option for circuit court cases, and many circuit courts use different online systems or may not have online case information available. Would you like me to direct you to the Virginia court's case search page?","Should direct to ""Glossaries"" and FAQs. ",,
CourtGlossaryInfo,glossary,It sounds like you are looking for information relating to Court Glossary Information. Is this correct?,,,
CourthouseDevicePolicy,Can I bring my cell phone into court?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,,,
CourthouseDevicePolicy,Can I bring my smart watch into court?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,,,
CourthouseDevicePolicy,What devices can I have in court?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,,,
CourthouseDevicePolicy,What electronics can I bring to my trial?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,,,
CourthouseDevicePolicy,Are phones allowed in court?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,,,
CourthouseDevicePolicy,Can I bring my laptop to trial?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,,,
CourthouseDevicePolicy,Can I have my kindle in court?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,,,
Custody,What if my ex moves away with my kids?,It sounds like you are having issues relating to Family Law. Is this correct?,,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Child Custody"" page rather than the DV page. ",
Custody,How do I change my visitation days?,It sounds like you are looking for information relating to a Name Change. Is this correct?,Should direct to Family Law pages.,,
Custody,My ex is telling lies about me to our children. What can I do?,Hmmm....I'm not sure I understand…,Should direct to Family Law pages.,,
Custody,I lost my job. Do I have to pay child support?,It sounds like you need help with issues relating to Child Support. Is this correct?,,,
Custody,My son-in-law is mean to his kids. Can I as a grandparent get custody?,It sounds like you are having issues relating to Family Law. Is this correct?,,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Child Custody"" page rather than the DV page. ",
Custody,I'm getting remarried and want my new husband to also have legal custody. What do I need to do?,"It sounds like you need help with legal issues related to Child Custody, Visitation, or Paternity. Is this correct?""",,,
Custody,"My ex and I have a fifty-fifty custody agreement. She wants to move to Nashville for a new job. If she moves, I want the kids to have more time with me and in their regular school. Can our previous agreement be changed so that I get the kids more?","It sounds like you need help with legal issues related to Child Custody, Visitation, or Paternity. Is this correct?""",,,
Custody,"My ex-husband smokes pot while around our teenage son. I've asked him to not do that, but according to my son, he still smokes. What should I do?",Sorry about that. I'm still learning.,Should direct to Child Custody and Visitation pages. ,,
Default Fallback Intent,Hmmm… I'm not sure I understand. Can you say it in a different way? I understand  best when people ask me short questions or tell me one thing at a time instead of the whole story.,,,,
Default Welcome Intent,"I'm a chatbot (not a human) and I’m here to help you get the information you need. While I don’t offer legal advice, I will try to direct you to helpful resources. What best describes the issues you need information about? I can understand best if you use short phrases.",,,,
Divorce,how do I separate from my spouse?,It sounds like you are having issues relating to Family Law. Is this correct?,,"The link for ""Domestic Violence"" directs to Child Custody rather than DV. ",
Divorce,Can I just get an annulment instead of a divorce?,Can I just get an annulment instead of a divorce?,,,
Divorce,I live in Virginia but my husband is stationed in Guam. Where can I file for divorce?,"It sounds like you need help with Divorce related issues. Is this correct?""",,,
Divorce,Do you have to get a divorce in the same state you got married?,"It sounds like you need help with Divorce related issues. Is this correct?""",,,
Divorce,Do you have to have a separation agreement before you get a divorce?,"It sounds like you need help with Divorce related issues. Is this correct?""",,,
Divorce,I'm trying to file for divorce  but don't know where my wife is. Can I still get a divorce?,"It sounds like you need help with Divorce related issues. Is this correct?""",,,
DriverLicense,What happens if I drive with a suspended license?,It sounds like you are having issues relating to a Driver's License. Is this correct?,,,
DriverLicense,I moved. How long do I have to update my license?,It sounds like you are looking for information relating to updating your address for court cases in Virginia. Is this correct?,Should direct to issues related to Driver's License.,,
DriverLicense,What is reckless driving?,It sounds like you are having issues relating to a Driver's License. Is this correct?,,,
DriverLicense,How do I get a learner's permit?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to issues related to Driver's License.,,
DriverLicense,I got speeding tickets a long time ago and the cops said my license is suspended. Where can I go to pay my tickets so I can get my license back?,It sounds like you are having issues relating to a Driver's License. Is this correct?,,,
DriverLicense,Do I have to have a Virginia license to buy a car and get its title?,It sounds like you are having issues relating to a Driver's License. Is this correct?,,,
DriverLicense,Why do I have to get a Real ID instead of my regular license?,It sounds like you are having issues relating to a Driver's License. Is this correct?,,,
Expungement,What is an expungement?,It sounds like you are looking for information relating to Expungement and/or Clearing Your Record. Is this correct?,"Directs to FAQ's page and identifies this as ""Expungement Information"". Should direct to FAQ's page for information about Criminal Expungment. Information about expungement of evictions can be found on the Landlord-Tenants page. ",,
Expungement,How do I get my criminal record cleared?,It sounds like you are looking for information relating to Expungement and/or Clearing Your Record. Is this correct?,"Directs to FAQ's page and identifies this as ""Expungement Information"". Should direct to FAQ's page for information about Criminal Expungment. Information about expungement of evictions can be found on the Landlord-Tenants page. ",,
Expungement,Does it cost money to clear my criminal record?,It sounds like you are looking for information relating to Expungement and/or Clearing Your Record. Is this correct?,"Directs to FAQ's page and identifies this as ""Expungement Information"". Should direct to FAQ's page for information about Criminal Expungment. Information about expungement of evictions can be found on the Landlord-Tenants page. ",,
Expungement,Who can clear my criminal record?,It sounds like you are looking for information relating to Expungement and/or Clearing Your Record. Is this correct?,"Directs to FAQ's page and identifies this as ""Expungement Information"". Should direct to FAQ's page for information about Criminal Expungment. Information about expungement of evictions can be found on the Landlord-Tenants page. ",,
Expungement,Where do I get forms to get my record expunged?,It sounds like you are looking for information relating to Expungement and/or Clearing Your Record. Is this correct?,"Directs to FAQ's page and identifies this as ""Expungement Information"". Should direct to FAQ's page for information about Criminal Expungment. Information about expungement of evictions can be found on the Landlord-Tenants page. ",,
Expungement,Do I need to get misdemeanors expunged to get a job?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to FAQ's page for information about criminal expungment and the Landlord-Tenant's page for information about expungement of evictions. ,,
Expungement,"If I get my record expunged, can I carry a gun?",It sounds like you are looking for information relating to Expungement and/or Clearing Your Record. Is this correct?,"Directs to FAQ's page and identifies this as ""Expungement Information"". Should direct to FAQ's page for information about Criminal Expungment. Information about expungement of evictions can be found on the Landlord-Tenants page. ",,
FamilyLaw,How do I get released from my parents?,It sounds like you are having issues relating to Family Law. Is this correct?,,"The link for ""Domestic Violence"" directs to Child Custody rather than DV. ",
FamilyLaw,I'm going to get a job that pays less so I don't have to pay as much support. Who do I tell I'm going to be making less for that?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to family law pages. ,,
FamilyLaw,My fiance is in the military and wants to be my child's stepparent. Do we have tio file papers for an adoption by my fiance?,It sounds like you are looking for information relating to Veterans and/or Military. Is this correct?,,,
FamilyLaw,Someone called social services on me. Now they're taking away my kids. What do I do to get them back?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to family law pages. ,,
FamMobileCrisis,???,,,,
FilingFeesAndWaivers,filing fees,"Filing fees in Virginia vary depending on case type and location. There is not one uniform filing fee. If you are low income, you can request a fee waiver using a specific form that must be approved by the judge. Virginia Legal Aid also provides an online self-help tool to help you create the fee waiver form. Would you like me to direct you to the Virginia court's filing fees and waivers information page?",,,
FilingFeesAndWaivers,waive a filing fee,"Filing fees in Virginia vary depending on case type and location. There is not one uniform filing fee. If you are low income, you can request a fee waiver using a specific form that must be approved by the judge. Virginia Legal Aid also provides an online self-help tool to help you create the fee waiver form. Would you like me to direct you to the Virginia court's filing fees and waivers information page?",,,
FilingFeesAndWaivers,pay to file,"Filing fees in Virginia vary depending on case type and location. There is not one uniform filing fee. If you are low income, you can request a fee waiver using a specific form that must be approved by the judge. Virginia Legal Aid also provides an online self-help tool to help you create the fee waiver form. Would you like me to direct you to the Virginia court's filing fees and waivers information page?",,,
FilingFeesAndWaivers,cost to file,"Filing fees in Virginia vary depending on case type and location. There is not one uniform filing fee. If you are low income, you can request a fee waiver using a specific form that must be approved by the judge. Virginia Legal Aid also provides an online self-help tool to help you create the fee waiver form. Would you like me to direct you to the Virginia court's filing fees and waivers information page?",,,
FilingFeesAndWaivers,cost to bring a case,"Filing fees in Virginia vary depending on case type and location. There is not one uniform filing fee. If you are low income, you can request a fee waiver using a specific form that must be approved by the judge. Virginia Legal Aid also provides an online self-help tool to help you create the fee waiver form. Would you like me to direct you to the Virginia court's filing fees and waivers information page?",,,
FilingFeesAndWaivers,how much money to bring my case?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify. Our phone number and hours are listed on the 'Get Help - Main Page'. For specific office locations, there is a link below for that too. If you would like to try and briefly describe what legal issues you need help with, I can also help direct you to specific resources on our website. Additionally, I will provide you a link below to a short video about how to get legal assistance from Virginia's self-help resources and other available legal resources.","Sould link to ""Filing Fees and Waivers"" ",,
FilingFeesAndWaivers,Are there exceptions to fees?,"Filing fees in Virginia vary depending on case type and location. There is not one uniform filing fee. If you are low income, you can request a fee waiver using a specific form that must be approved by the judge. Virginia Legal Aid also provides an online self-help tool to help you create the fee waiver form. Would you like me to direct you to the Virginia court's filing fees and waivers information page?",,,
FilingFeesAndWaivers,cost to sue,"Filing fees in Virginia vary depending on case type and location. There is not one uniform filing fee. If you are low income, you can request a fee waiver using a specific form that must be approved by the judge. Virginia Legal Aid also provides an online self-help tool to help you create the fee waiver form. Would you like me to direct you to the Virginia court's filing fees and waivers information page?",,,
FindACase,find a case,"You can find information about civil and criminal cases in Virginia's General District Court and Circuit Court online by selecting an individual court location. To protect confidentiality, no case information is available online for Juvenile and Domestic Relations Court cases. Note that there is no statewide search option for circuit court cases, and many circuit courts use different online systems or may not have online case information available. Would you like me to direct you to the Virginia court's case search page?",,,
FindACase,how do i find my court date,"You can find information about civil and criminal cases in Virginia's General District Court and Circuit Court online by selecting an individual court location. To protect confidentiality, no case information is available online for Juvenile and Domestic Relations Court cases. Note that there is no statewide search option for circuit court cases, and many circuit courts use different online systems or may not have online case information available. Would you like me to direct you to the Virginia court's case search page?",,,
FindACase,where can I find information about my case,"You can find information about civil and criminal cases in Virginia's General District Court and Circuit Court online by selecting an individual court location. To protect confidentiality, no case information is available online for Juvenile and Domestic Relations Court cases. Note that there is no statewide search option for circuit court cases, and many circuit courts use different online systems or may not have online case information available. Would you like me to direct you to the Virginia court's case search page?",,,
FindACase,how do I check someone's criminal background,It sounds like you are looking for information relating to Expungement and/or Clearing Your Record. Is this correct?,Should direct to information about finding cases.,,
FindACase,I lost my traffic ticket. Where do I pay it off?,bye / til next time,Should direct to information about finding cases and paying off tickets,,
FindALawyer,I got a summons. Do I need a lawyer?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",,,
FindALawyer,How do I know if a lawyer is good?,"A lawyer is someone licensed to practice law in Virginia who can provide legal advice. The Virginia State Bar offers a Lawyer Referral Service at 1-800-552-7977. Low-income persons may qualify for free legal aid through local offices, and those charged with crimes carrying jail time may be eligible for a public defender. Remember, only a licensed Virginia lawyer can give legal advice, file documents, or represent you in court. Would you like me to direct you to the Virginia court's information page about finding a lawyer?",,,
FindALawyer,Is there a lawyer referral in Virginia?,"A lawyer is someone licensed to practice law in Virginia who can provide legal advice. The Virginia State Bar offers a Lawyer Referral Service at 1-800-552-7977. Low-income persons may qualify for free legal aid through local offices, and those charged with crimes carrying jail time may be eligible for a public defender. Remember, only a licensed Virginia lawyer can give legal advice, file documents, or represent you in court. Would you like me to direct you to the Virginia court's information page about finding a lawyer?",,,
FindALawyer,Where do I find a lawyer in Virginia?,"A lawyer is someone licensed to practice law in Virginia who can provide legal advice. The Virginia State Bar offers a Lawyer Referral Service at 1-800-552-7977. Low-income persons may qualify for free legal aid through local offices, and those charged with crimes carrying jail time may be eligible for a public defender. Remember, only a licensed Virginia lawyer can give legal advice, file documents, or represent you in court. Would you like me to direct you to the Virginia court's information page about finding a lawyer?",,,
FindALawyer,How can I find a pro bono attorney?,"A lawyer is someone licensed to practice law in Virginia who can provide legal advice. The Virginia State Bar offers a Lawyer Referral Service at 1-800-552-7977. Low-income persons may qualify for free legal aid through local offices, and those charged with crimes carrying jail time may be eligible for a public defender. Remember, only a licensed Virginia lawyer can give legal advice, file documents, or represent you in court. Would you like me to direct you to the Virginia court's information page about finding a lawyer?",,,
FindALawyer,Legal Aid won't take my case. Are there any other places that will take my case? I want to sue the City of Richmond. ,"A lawyer is someone licensed to practice law in Virginia who can provide legal advice. The Virginia State Bar offers a Lawyer Referral Service at 1-800-552-7977. Low-income persons may qualify for free legal aid through local offices, and those charged with crimes carrying jail time may be eligible for a public defender. Remember, only a licensed Virginia lawyer can give legal advice, file documents, or represent you in court. Would you like me to direct you to the Virginia court's information page about finding a lawyer?",,,
FindAMediator,I want to settle out of court. What do I do?,It sounds like you are looking for information relating to Courthouse Device Policy. Is this correct?,Should direct to Find a Mediator page.,,
FindAMediator,Someone told me to try ADR instead of suing. What's that,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to Find a Mediator page.,,
FindAMediator,Is there a cheaper way to sue someone?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to Find a Mediator page.,,
FindAMediator,How does mediation work?,"Mediation is an alternative dispute resolution process where a trained neutral mediator helps parties communicate and reach a mutually agreeable resolution. In Virginia, mediation is voluntary and confidential, and courts offer various dispute resolution services, some at no cost. The Virginia Judicial System provides a directory of private mediators and links to Resolution Virginia. Would you like me to direct you to the Virginia court's mediation resources page?",,,
FindAMediator,How does a mediator qualify?,"Mediation is an alternative dispute resolution process where a trained neutral mediator helps parties communicate and reach a mutually agreeable resolution. In Virginia, mediation is voluntary and confidential, and courts offer various dispute resolution services, some at no cost. The Virginia Judicial System provides a directory of private mediators and links to Resolution Virginia. Would you like me to direct you to the Virginia court's mediation resources page?",,,
Forms,form,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
Forms,courtforms,"Hmmm....I'm not sure I understand. I need a little help sometimes. Can you say it in a different way? I understand the best when people ask me short questions or tell me one thing at a time instead of ""the whole story."" For example, you can ask me ""What are the hours?"" and I will understand, but if you say ""My landlord is trying to evict me. I am so glad your services are free. What hours are you open?"" I may get confused and not know what to say. I will try my best to help!","Response should direct to ""Legal Forms"". ",,
Forms,court forms,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
Forms,legal form,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
Forms,form,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
Forms,What documents do I need to submit to court?,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
Forms,What documents do I need for my case?,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
Forms,court documents,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
Forms,documents,It sounds like you are looking for help relating to Legal Forms. Is this correct?,,,
FreedomOfInformationAct,What does FOIA allow?,The Virginia Judicial System provides Freedom of Information Act forms for court proceedings. Would you like me to direct you to our Freedom of Information Act forms page?,,,
FreedomOfInformationAct,What is FOIA?,The Virginia Judicial System provides Freedom of Information Act forms for court proceedings. Would you like me to direct you to our Freedom of Information Act forms page?,,,
FreedomOfInformationAct,Freedom of information act,The Virginia Judicial System provides Freedom of Information Act forms for court proceedings. Would you like me to direct you to our Freedom of Information Act forms page?,,,
GenderIssues,I'm trans. Can I change my birth certificate?,It sounds like you are looking for information relating to Obtain Virginia Adult Birth Certificate Guide. Is this correct?,,,
GenderIssues,I'm trans. Can I change my license?,It sounds like you are looking for information relating to a Name Change. Is this correct?,,,
GenderIssues,I want a sex change. Is there help for that?,It sounds like you are looking for information relating to Gender Issues. Is this correct?,,,
GetHelp,How do I get legal help?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify. Our phone number and hours are listed on the 'Get Help - Main Page'. For specific office locations, there is a link below for that too. If you would like to try and briefly describe what legal issues you need help with, I can also help direct you to specific resources on our website. Additionally, I will provide you a link below to a short video about how to get legal assistance from Virginia's self-help resources and other available legal resources.",,,
GetHelp,help,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify. Our phone number and hours are listed on the 'Get Help - Main Page'. For specific office locations, there is a link below for that too. If you would like to try and briefly describe what legal issues you need help with, I can also help direct you to specific resources on our website. Additionally, I will provide you a link below to a short video about how to get legal assistance from Virginia's self-help resources and other available legal resources.",,,
GetHelp,legal assistance,"A lawyer is someone licensed to practice law in Virginia who can provide legal advice. The Virginia State Bar offers a Lawyer Referral Service at 1-800-552-7977. Low-income persons may qualify for free legal aid through local offices, and those charged with crimes carrying jail time may be eligible for a public defender. Remember, only a licensed Virginia lawyer can give legal advice, file documents, or represent you in court. Would you like me to direct you to the Virginia court's information page about finding a lawyer?","should direct to ""self help resources""",,
GetHelp,help,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify. Our phone number and hours are listed on the 'Get Help - Main Page'. For specific office locations, there is a link below for that too. If you would like to try and briefly describe what legal issues you need help with, I can also help direct you to specific resources on our website. Additionally, I will provide you a link below to a short video about how to get legal assistance from Virginia's self-help resources and other available legal resources.",,,
GetHelp,How do I get assistance?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify. Our phone number and hours are listed on the 'Get Help - Main Page'. For specific office locations, there is a link below for that too. If you would like to try and briefly describe what legal issues you need help with, I can also help direct you to specific resources on our website. Additionally, I will provide you a link below to a short video about how to get legal assistance from Virginia's self-help resources and other available legal resources.",,,
Guardianship_Conservatorship,How do I change my guardian?,It sounds like you are looking for information relating to a Name Change. Is this correct?,Should direct to Guardian/Conservatorship page.,,
Guardianship_Conservatorship,I want to file a complaint against my guardian,It sounds like you are having issues relating to Housing. Is this correct?,Should direct to Guardian/Conservatorship page.,,
Guardianship_Conservatorship,What does a conservator do?,It sounds like you are looking for information relating to Conservator of the Peace. Is this correct?,Should direct to Guardian/Conservatorship page.,,
Guardianship_Conservatorship,Who needs a conservator?,It sounds like you are looking for information relating to Conservator of the Peace. Is this correct?,Should direct to Guardian/Conservatorship page.,,
Guardianship_Conservatorship,Who needs a guardian?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to Guardian/Conservatorship page.,,
Guardianship_Conservatorship,My mom was diagnosed with dementia. I think she will need a legal guardian. Who should I call?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…",Should direct to Guardian/Conservatorship page.,,
Guardianship_Conservatorship,I need to have power of attorney over my mother's affairs. Where do I go?,"It sounds like you are looking for information relating to Juvenile Issues. Is this correct?""",Should direct to Guardian/Conservatorship page.,,
Health,How do you get Medicaid?,It sounds like you are looking for information relating to Health. Is this correct?,,,
Health,How do you get Medicare?,It sounds like you are looking for information relating to Health. Is this correct?,,,
Housing,What's unlawful detainer?,Hmmm....I'm not sure I understand. I need a little help sometimes. Can you say it in a different way?,Should direct to information about housing aka landlord/tenant page.,,
Housing,How can I get out of my lease?,It sounds like you are having issues relating to Housing. Is this correct?,,,
Housing,How much should I charge for rent?,Hmmm....I'm not sure I understand. I need a little help sometimes. Can you say it in a different way?,Should direct to information about housing aka landlord/tenant page.,,
Housing,I need a property maintenance company,Hmmm....I'm not sure I understand. I need a little help sometimes. Can you say it in a different way?,Should direct to information about housing aka landlord/tenant page.,,
Housing,How do I qualify for housing assistance?,It sounds like you are having issues relating to Housing. Is this correct?,,,
Housing,The refrigerator in my apartment wasn't working good. I asked the landlord to get it fixed or replace it. He didn't. So I stopped paying rent. Now he says he's going to evict me. Is that legal?,It sounds like you are having issues relating to Housing. Is this correct?,,,
Housing,My landlord told me I can't have my friends over. Is that legal?,It sounds like you are having issues relating to Housing. Is this correct?,,,
Housing,"I've been transferred from Oceana to Guam, effective at the end of the month. The landlord won't let me out of my lease. I think he has to. Which is correct?",It sounds like you are having issues relating to Housing. Is this correct?,,,
Juveniles,What's JD&R court?,It sounds like you are looking for information relating to Court Glossary Information. Is this correct?,Should direct to information relating to Juvenile issues.,,
Juveniles,What's the age of majority in Virginia,It sounds like you are looking for information relating to Virginia Probate law or proceedings. Is this correct?,Should direct to information relating to Juvenile issues.,,
Juveniles,What does juvenile mean?,"It sounds like you are looking for information relating to Juvenile Issues. Is this correct?""",,,
Juveniles,Is my juvenile record sealed?,"It sounds like you are looking for information relating to Juvenile Issues. Is this correct?""",,,
LegalQA,where can I go to ask a legal question?,"It sounds like a good place to begin would be Legal Questions and Answers. This is also where various news, updates, and helpful posts can be found. Does this sound helpful?",,,
LegalQA,where can I find legal answers,"It sounds like a good place to begin would be Legal Questions and Answers. This is also where various news, updates, and helpful posts can be found. Does this sound helpful?",,,
LegalQA,legal qa,It sounds like you are looking for information relating to accessing legal information through the OLIR (Online Legal Information Resources) system. Is this correct?,Should direct to legal Q&A,,
LegalQA,Q&A,NOT FOUND,Should direct to legal Q&A,,
